Gain,Protein,Source
73,Hi,Beef
102,Hi,Beef
118,Hi,Beef
104,Hi,Beef
81,Hi,Beef
107,Hi,Beef
100,Hi,Beef
87,Hi,Beef
117,Hi,Beef
111,Hi,Beef
98,Hi,Cereal
74,Hi,Cereal
56,Hi,Cereal
111,Hi,Cereal
95,Hi,Cereal
88,Hi,Cereal
82,Hi,Cereal
77,Hi,Cereal
86,Hi,Cereal
92,Hi,Cereal
94,Hi,Pork
79,Hi,Pork
96,Hi,Pork
98,Hi,Pork
102,Hi,Pork
102,Hi,Pork
108,Hi,Pork
91,Hi,Pork
120,Hi,Pork
105,Hi,Pork
90,Lo,Beef
76,Lo,Beef
90,Lo,Beef
64,Lo,Beef
86,Lo,Beef
51,Lo,Beef
72,Lo,Beef
90,Lo,Beef
95,Lo,Beef
78,Lo,Beef
107,Lo,Cereal
95,Lo,Cereal
97,Lo,Cereal
80,Lo,Cereal
98,Lo,Cereal
74,Lo,Cereal
74,Lo,Cereal
67,Lo,Cereal
89,Lo,Cereal
58,Lo,Cereal
49,Lo,Pork
82,Lo,Pork
75,Lo,Pork
86,Lo,Pork
81,Lo,Pork
97,Lo,Pork
106,Lo,Pork
70,Lo,Pork
61,Lo,Pork
82,Lo,Pork
